objectid,filename,Title,Contributor,creator,creator,date,description,format,Language,publisher,relation,rights,subject,subject,subject,Coverage,type,Source,File Name
fgcu_hd_0001,20250709134214400.pdf,Donna Was The Worst Storm We Ever Had,,Unknown,,Post 1990,"Personal accounts of the storm from September 10, 1960, with statistical data to coincide with it.",6 pgs.,Eng,,,,Hurricane Donna,Florida History,Hurricane Donna,Florida,Text,Collier County Museum,fgcu_hd_0001
fgcu_hd_0002,20250709134354058.pdf,Hurricanes,,Unknown,,Unknown,A list of hurricanes that directly affected Collier County since the National Weather Service has kept track in 1871.,6 pgs.,Eng,,,,Hurricane History,Hurricane Damage,History of Florida Hurricanes pre-1960,Collier County,Text,Collier County Museum,fgcu_hd_0002
fgcu_hd_0003,20250709134820101.pdf,Hurricane Donna,,Florida Health Notes,,"April, 1961","Accumulated health notes about Hurricane Donna, methods for preparation, after effects of it, and statistics about how many were injured and/or killed.",11 pgs.,Eng,Florida Health Notes,,,Hurricane,Health,Hurricane Donna health and wellness,Florida,Text,Collier County Museum,fgcu_hd_0003
fgcu_hd_0004,out (4).pdf,Federal Assistance Promised County; Damage in Florida Nears Billion Mark,,Fort Myers News Press,,13-Sep,Hurricane Donna's damage and how much money it will cost to help with relief.,1 pg.,Eng,Fort Myers News Press,,,Newspaper,Billions,Hurricane Damage,Lee County,Text,Collier County Museum,fgcu_hd_0004
fgcu_hd_0005,out.pdf,Hurricane Heads for Keys; Islanders Start Evacuating,,Fort Myers News Press,,9/9/1960,Hurricane Donna's prescense scared the islanders of the Florida Keys after Cuba was hit hard.,1 pg.,Eng,Fort Myers News Press,,,Newspaper,Evacuation,Hurricane Evacuation,Florida,Text,Collier County Museum,fgcu_hd_0005
fgcu_ph_0001,00638-1.jpg,Everglades Inn 1923,,Unknown,,1923,"Photograph of a large group of people in front of the Everglades Inn in 1923, likely due to a grand opening or event of some sort.",4x6,Eng,Unknown,,,Opening,Hotel,Everglades Inn,Everglades City,Image,Collier County Museum,fgcu_ph_0001
fgcu_ph_0002,2014202-1.jpg,Chokoloskee Island Park,,Unknown,,Unknown,"A photograph of the Chokoloskee Island Park building, with signs of food and a Coke vending machine.",4x6,Eng,Unknown,,,Park,Choloskee Island,Choloskee Island Park,Choloskee Island,Image,Collier County Museum,fgcu_ph_0002
fgcu_ph_0003,202517276-1.jpeg,Tractor race in the swamp,,Unknown,,Unknown,"Men of all ages, sitting and watching tractor racing in the muddy swamp.",4x6,N/A,Unknown,,,Tractor,Swamp,Tractor Racing,Florida,Image,Collier County Museum,fgcu_ph_0003
fgcu_ph_0004,20152525-1.jpg,Estrada Farm Box,,Unknown,,Unknown,A photo of a tomato box from Estrada & Sons Inc.,4x6,Eng,Unknown,,,Tomato,Estrada,Box of tomatoes?,Florida?,Image,Collier County Museum,fgcu_ph_0004
fgcu_ph_0005,2013274-1.jpg,Flooding After Storm Pt.1,,Unknown,,Unknown,A photograph of a flood that had taken over after a very big storm/hurricane.,4x6,Eng,Unknown,,,Flooding,Hurricane,Flooding,Florida?,Image,Collier County Museum,fgcu_ph_0005
fgcu_ph_0006,202517231-1.jpeg,Big Beach House,,Unknown,,Unknown,"Photograph of a large house with multiple sotries, it seems to be located on the beach, and there is an American flag on top.",4x6,N/A,Unknown,,,Beach,America,House on beach,Florida,Image,Collier County Museum,fgcu_ph_0006
fgcu_ph_0007,00688-1.jpg,Collier County Fair,,Unknown,,Unknown,"A photo of the entrance to the Collier County Fair, with a group of people gathered around outside.",4x6,Eng,Unknown,,,Fair,Fun?,Fair entrance,Collier County,Image,Collier County Museum,fgcu_ph_0007
fgcu_ph_0008,20197294-1.jpg,Notice On Tree,,Unknown,,Unknown,"Photograph of a sign nailed to a tree, it warns people to mind their baby, cash their check, crank their motor, and go fishing.",4x6,Eng,Unknown,,,Sign,Fishing,Fishing,Florida,Image,Collier County Museum,fgcu_ph_0008
fgcu_ph_0009,00641-1.jpg,Gathering,,Unknown,,Unknown,"A photo of a group of people gathered on a farm, with some type of target in the background.",4x6,N/A,Unknown,,,Gathering,Farm,Farm gathering,Florida,Image,Collier County Museum,fgcu_ph_0009
fgcu_ph_0010,2013275-1.jpg,"Flooding After Storm, Pt.2",,Unknown,,Unknown,"Photograph of flooding in a neighborhood, the only thing visible is the porches from the houses and above.",4x6,N/A,Unknown,,,Flooding,Neighborhood,Flooding after storm,Florida,Image,Collier County Museum,fgcu_ph_0010
fgcu_ph_0011,006155b-1.jpg,Excavation Project,,Unknown,,Unknown,"A photo of three men standing in front of a ditch, that had been recently been excavated.",4x6,N/A,Unknown,,,Excavate,Construction,Excavation of ditches in Florida,Florida,Image,Collier County Museum,fgcu_ph_0011
fgcu_ph_0012,2013275-1.jpg,Flooding After Storm Pt.3,,Unknown,,Unknown,Photograph of two men rowing in a boat after flooding in a neighborhood because it was the only means to get around.,4x6,N/A,Unknown,,,Flooding,Boat,Flooding after storm in Florida,Florida,Image,Collier County Museum,fgcu_ph_0012
fgcu_ph_0013,0165-1.jpg,Man with his car,,Unknown,,Unknown,A photo of a man posing for a picture in front of his vehicle in a town of some sort.,4x6,N/A,Unknown,,,Old Florida,Machinery,Man in front of a vehicle,Florida,Image,Collier County Museum,fgcu_ph_0013
fgcu_ph_0012,2013275-1.jpg,Flooding After Storm Pt.4,,Unknown,,Unknown,Photograph of two men rowing in a boat after flooding in a neighborhood because it was the only means to get around.,4x6,N/A,Unknown,,,Flooding,Boat,Flooding after storm in Florida,Florida,Image,Collier County Museum,fgcu_ph_0012
fgcu_ph_0013,8624-1.jpg,Man looking into distance,,Unknown,,Unknown,Photo of a man's face.,4x6,N/A,Unknown,,,Man,Old,Guy looking out into distance,Florida,Image,Collier County Museum,fgcu_ph_0013
fgcu_ph_0014,822713-1.JPG,Two men doing something with alcohol,,Unknown,,Unknown,Photo of two guys,4x6,N/A,Unknown,,,Men,Wood,Two men doing something,Florida,Image,Collier County Museum,fgcu_ph_0014
